年月日,時,気圧(hPa),降水量(mm),気温(℃),露点温度(℃),蒸気圧(hPa),湿度(％),風向・風速(m/s),日照時間(h),全天日射量(MJ/㎡),雪(cm),天気,雲量,視程(km)
2025-07-27,1,1004.4,1006.1,--,30.0,22.2,26.7,63,3.0,東南東,,,×,×,,,20.0
2025-07-27,2,1004.0,1005.7,--,29.4,22.4,27.1,66,2.8,東南東,,,×,×,,,20.0
2025-07-27,3,1003.6,1005.3,--,29.1,22.6,27.4,68,1.4,東,,,×,×,,,20.0
2025-07-27,4,1003.7,1005.4,--,28.7,22.7,27.6,70,2.2,東南東,,,×,×,,,20.0
2025-07-27,5,1003.7,1005.4,--,28.6,22.6,27.4,70,2.0,南東,,0.00,×,×,,,20.0
2025-07-27,6,1004.0,1005.7,--,28.3,22.8,27.7,72,2.6,東南東,0.2,0.04,×,×,,,20.0
2025-07-27,7,1004.1,1005.8,--,29.1,23.1,28.2,70,2.2,東北東,0.9,0.47,×,×,,,20.0
2025-07-27,8,1004.2,1005.9,--,30.7,23.4,28.7,65,2.8,東北東,1.0,1.21,×,×,,,20.0
2025-07-27,9,1003.8,1005.5,--,32.1,23.4,28.7,60,3.0,東北東,1.0,1.90,×,×,,,20.0
2025-07-27,10,1003.3,1005.0,--,33.2,23.2,28.5,56,3.2,東北東,1.0,2.55,×,×,,,20.0
2025-07-27,11,1003.2,1004.9,--,33.9,23.0,28.1,53,3.6,東南東,1.0,3.05,×,×,,,20.0
2025-07-27,12,1002.8,1004.4,--,35.2,23.5,29.0,51,3.0,東,0.9,3.33,×,×,,,20.0
2025-07-27,13,1002.6,1004.2,--,35.0,22.7,27.6,49,4.0,東,0.7,2.58,×,×,,,20.0
2025-07-27,14,1002.5,1004.1,--,35.8,22.0,26.5,45,5.5,東南東,0.9,3.12,×,×,,,20.0
2025-07-27,15,1002.6,1004.2,--,34.9,21.6,25.7,46,4.8,南東,0.8,2.80,×,×,,,20.0
2025-07-27,16,1002.5,1004.1,--,34.9,20.8,24.6,44,5.8,南東,0.3,1.31,×,×,,,20.0
2025-07-27,17,1002.4,1004.0,--,34.9,20.8,24.6,44,4.0,東南東,1.0,1.62,×,×,,,20.0
2025-07-27,18,1002.6,1004.3,--,33.9,20.7,24.3,46,4.5,東南東,1.0,1.06,×,×,,,20.0
